序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像
11,294185771809,294210109505,1621220251,爱红酒爱果盘爱老钱,5,男,他就属于没苦硬吃,2026-03-26 07:12:59,0,15,теперь я ничего не хочу говорить ,黑龙江,否,https://i1.hdslb.com/bfs/face/5a67896d6339e3592830b09dfbd4ecfa0ed78156.jpg
12,294185771809,294214950689,101442830,老司机带带我777,6,保密,确实 性格决定命运,2026-03-26 08:25:11,0,5,,上海,是,https://i2.hdslb.com/bfs/face/7622fe500d64cac1ba2b7311a25ef904d2311551.jpg
13,294185771809,296730332320,41890347,术仙森,5,男,俺自己的破厂子和贸易公司才十来个人，而且还刚被合作十来年的某破产大公司坑了小一百个，按理说应该充满斗志去赚钱才对，但俺天天都在琢磨关了退休拉倒，可是有客户和员工了，有项目运行起来了，人就等于被转动起来的飞轮，想停也需要时间才能停下来…….,2026-03-26 08:37:03,0,8,,山东,是,https://i0.hdslb.com/bfs/face/28cd6c4f38ac94bb7037528533f406001e37e177.jpg
14,296715970096,296730614128,3546672271461017,bili_37004429358,4,保密,回复 @北向主力大资金 :裁员不会吗,2026-03-26 08:41:04,0,0,,广西,否,https://i2.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
15,296730614128,296730894560,104408305,沃日内斯比拖,6,保密,回复 @bili_37004429358 :他公司在上升期裁什么员 张挂了属于黑天鹅事件 要是张还撑着他企业上升速度非常快,2026-03-26 08:43:35,0,5,.,山东,是,https://i1.hdslb.com/bfs/face/91a0a1c9d946da293ab4e60dfd0c0578c12ab447.jpg
16,296718062912,296731059536,489386232,麦苗高高,5,男,回复 @减法lizi :那你真错了，这行业不是那么好干的，张雪峰的镜头能力很强的，语言组织能力也很强，生活阅历也不是一般人能比的。换个人没有这种效果，而且还有董宇辉出走新东方的风险，高考报志愿本就这么点市场，如果捧了新人，出走后会分蛋糕，更何况别人也不一定有张雪峰的能力。,2026-03-26 08:45:06,0,9,关注中国周边的大小事,河北,否,https://i0.hdslb.com/bfs/face/eb824f8d45e0b675101f98f36ed187d8b9b8dbc2.jpg
17,296730894560,296731604240,3546672271461017,bili_37004429358,4,保密,回复 @沃日内斯比拖 :那没办法了，破产的企业多的是，世界还是照着转，终究还是舍不得钱,2026-03-26 08:50:44,0,4,,广西,否,https://i2.hdslb.com/bfs/face/f5c54f9ee2e89b5654bfb92b21e8d7bd970feda6.jpg
18,294210109505,294217276273,431146665,森屿暖树bro,5,保密,回复 @爱红酒爱果盘爱老钱 :[微笑]这就是真正的卷自己给整死了明明下播后可以休息了却偏要给自己增压力这下可好真的成了下辈子见面了，哦可能不一定有下辈子了,2026-03-26 08:57:40,0,3,,重庆,否,https://i0.hdslb.com/bfs/face/6ef90f8ff2e852dffe4ea50132719c141722b859.jpg
19,296718062912,296732285088,37367003,蓝烟听雨,6,男,回复 @减法lizi :他是还没到那个阶段，人就没了,2026-03-26 08:59:22,0,1,一骑绝尘,江西,否,https://i2.hdslb.com/bfs/face/41a4444415478337f87902c6425895e4b19121d2.jpg
20,294185771809,294218897057,3632307153930479,水灵灵的丑,2,保密,像这种公司都是他个人ip公司，他不能倒了，他倒了整个他的商业帝国就全废了，所以他要锻炼身体，保持自己健康健康保证自己还能坚强的在这儿直播，但是他有点过了,2026-03-26 09:16:14,0,4,,海南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
21,294217276273,294220455521,1621220251,爱红酒爱果盘爱老钱,5,男,回复 @森屿暖树bro :钱儿指不定留给谁呢,2026-03-26 09:35:55,0,0,теперь я ничего не хочу говорить ,黑龙江,否,https://i1.hdslb.com/bfs/face/5a67896d6339e3592830b09dfbd4ecfa0ed78156.jpg
22,296718062912,296738333616,3706926076529315,sss水水水水水水,2,保密,回复 @减法lizi :教会徒弟饿死师傅,2026-03-26 10:01:40,0,0,,黑龙江,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
23,296715970096,296738925536,470481544,无所畏惧的强者,5,保密,回复 @北向主力大资金 :公司员工只是一部分，还有全国有需求的学生家长，他有求必应。,2026-03-26 10:09:24,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
24,296715970096,296739092240,486635002,哎呀呀哎呀呦,5,保密,回复 @北向主力大资金 :直接撒手不干了呗    反正钱已经赚够了,2026-03-26 10:10:42,0,0,,安徽,是,https://i1.hdslb.com/bfs/face/9bef4076c2941fb4c215d53b401425ca0d1482f8.jpg
25,296738925536,294223714993,588890,黄昏爱茜,6,保密,回复 @无所畏惧的强者 :怎么这个时候就不说你不干有的是人干了，单纯是没人会嫌钱少，指导了千千万万个学生，结果到自己孩子就辜负了。,2026-03-26 10:12:16,0,0,,广东,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
26,294210109505,296743029328,9177124,夜沫丿,6,男,回复 @爱红酒爱果盘爱老钱 :苏州这边创业的老板很都是这样的 自己身兼数职 员工到点下班 自己留下来继续工作,2026-03-26 10:50:16,0,0,,江苏,否,http://i0.hdslb.com/bfs/face/663bd803ed7d6f397f39975ec69ca57beb3dd385.jpg
27,294185771809,294230840657,199670383,ylinc,5,保密,高盐高油脂的外卖也是个很重要的原因,2026-03-26 11:27:31,0,0,,浙江,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
28,296716080736,296751035520,36757546,遍识群星的男人,6,女,回复 @一只冬藏鬼 :不是一句话的事啊,2026-03-26 12:08:47,0,0,在这片苍穹这下，我们都是同类人，生活在同一个地球，应该不分彼此，大家都是一家人。,山西,是,https://i1.hdslb.com/bfs/face/e48163d5536b212c8f4b10af68405c4c763305f9.jpg
29,296739092240,296751151536,36757546,遍识群星的男人,6,女,回复 @哎呀呀哎呀呦 :那不就给全公司卖了吗？,2026-03-26 12:09:11,0,0,在这片苍穹这下，我们都是同类人，生活在同一个地球，应该不分彼此，大家都是一家人。,山西,是,https://i1.hdslb.com/bfs/face/e48163d5536b212c8f4b10af68405c4c763305f9.jpg
30,294185771809,296752457408,1383561441,思君此何极,6,女,这是属于成功了，下不来了,2026-03-26 12:22:01,0,0,现在每一天都很开心，与父母课题分离，为自己而活。,上海,否,https://i0.hdslb.com/bfs/face/04638975a6899313fc8858bc7d4cba97a859b801.jpg
31,0,296738598160,11462338,lixuoying,5,男,他就在公司里面跑步失去意识的，难道整个公司就没有个人能及时抢救一下吗，CPR心肺复苏我记得考驾照的时候都会学一点吧，这时候正好能用上 ，心脏停半小时，神仙来了也白搭，张雪峰走的太冤了，这样离世太令人惋惜了。。。,2026-03-26 10:05:05,12,52,游戏热情已退烧，电影热情已降温，,江苏,否,https://i1.hdslb.com/bfs/face/6f9e6fea15e59cea7cccf1f174dd27ea7416e922.jpg
32,296738598160,294223476305,3461578791848580,醉儿仙,4,保密,抢救也不是100%能救回来的啊,2026-03-26 10:09:42,0,37,,湖北,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
33,296738598160,296739860176,393508571,五月家のD你一千遍,6,女,说是在中午饭点，一个人在办公室跑跑步机，可能员工都去吃饭了吧，唉,2026-03-26 10:17:54,0,27,,河北,否,https://i2.hdslb.com/bfs/face/80299d045c2d1bc1c9415d4c2be5edd4954f3147.jpg
34,296738598160,294224448801,1849512957,漏船载酒ovo,5,保密,抢救时间只有四分钟，除非你在病床上犯病的不然白瞎,2026-03-26 10:20:20,0,20,,湖北,是,https://i0.hdslb.com/bfs/face/dff476c07bb9019ccf17fa8800b73a6fd5fe1dd9.jpg
35,296738598160,294224561937,826999,月蚀的假面~,6,男,我一个在医院的亲戚说，他们医院一个医生工作期间突发心梗也没救过来，这个真的不好说,2026-03-26 10:20:42,0,12,,浙江,是,http://i1.hdslb.com/bfs/face/59177f92ed5504e291269356fd4794a426ff294f.jpg
36,296738598160,296740296080,372147005,卡路里饿了,5,保密,就4分钟黄金期，除非你倒在AED旁边，否则根本不可能及时施救,2026-03-26 10:23:32,0,12,每天分享幽默搞笑视频,广东,是,http://i2.hdslb.com/bfs/face/81473802bd3c362d100ee580621668f079ef0bc3.jpg
37,296740296080,294225141217,440683394,游园如梦,5,保密,回复 @卡路里饿了 :竟然只有4分钟吗，那我感觉就算是倒在机器旁边，如果旁边人没学过怎么用的话，也来不及发挥AED的作用了，太短了,2026-03-26 10:26:54,0,5,此号因号主太帅被永久封禁,山西,否,https://i2.hdslb.com/bfs/face/dfa3ee1438c8973e94841da87a44758f65ca709e.jpg
38,294225141217,296740957824,108703532,陈年卤汁,6,男,回复 @游园如梦 :aed只要旁边人能听懂机器语音的话还是很简单的，但是心源性猝死病因很多，aed也只是把死亡率从100%降到70%（胡扯的概率）,2026-03-26 10:30:05,0,8,少年郎的肩头应挑着清风明月、杨柳依依和草长莺飞,陕西,是,https://i2.hdslb.com/bfs/face/8b8b8cacce500c0417dbb26383d134b5baad3c19.jpg
39,296738598160,296742023904,24454517,珞昕琼,6,保密,医院里犯病都不一定抢救的回来,2026-03-26 10:39:24,0,5,"ICT研究生，网络技术爱好者，软硬件发烧友。

“花落鸟啼春分尽，方知尚在艳阳中。”",北京,是,https://i2.hdslb.com/bfs/face/c43c7c068c4c3e615b8c22535d64b9b598ed42c9.jpg
40,296738598160,296744700272,407356010,到底叫嘛名好呢,5,男,他特么主动脉粥状硬化 不去医院做手术隔这强撑 猝死是迟早的事[笑哭][笑哭],2026-03-26 11:06:13,0,6,,北京,是,https://i2.hdslb.com/bfs/face/c14692f1256f47ad16477ae804328e6d766c1ed6.jpg
41,296744700272,294231073121,199670383,ylinc,5,保密,回复 @到底叫嘛名好呢 :外卖吃太多了,2026-03-26 11:29:48,0,0,,浙江,否,http://i0.hdslb.com/bfs/face/member/noface.jpg
42,294225141217,294235638321,331970,西边哥,6,男,回复 @游园如梦 : 黄金抢救期就那么几分钟，每超过1分钟，抢救过来的概率就降低7%-10%，前面几分钟抢救过来概率最大，超过10分钟基本就是必死的了，因为哪怕第一秒钟开始抢救，成功的概率也不是100%,2026-03-26 12:18:29,0,1,基无命,天津,是,https://i2.hdslb.com/bfs/face/82b91892d65c46f0522fd3c75225bb461bb7ed36.gif
43,294223476305,294236312481,471761172,鲁广,6,保密,回复 @醉儿仙 :不抢救是100%死的。,2026-03-26 12:25:20,0,1,当你打开我主页的那一刻，你就已经输的很彻底了，我的观点像刀刃一样已经深深扎进了你的心里，你试图反驳我可是你无能为力，所以你焦急的点开我的主页,黑龙江,否,https://i0.hdslb.com/bfs/face/9686883b39e351d1091a8d0333cda3fd10b78b95.jpg
44,0,294232685409,11753152,bvvd的抵迪爆炸了,6,保密,直播的时候送去抢救的吗,2026-03-26 11:46:38,1,0,,广东,是,https://i1.hdslb.com/bfs/face/7b46ee1165c14176a34882e7e95bad1ab18f0c40.jpg
45,294232685409,296753114752,650925323,绍兴树人,5,保密,直播完，中午在跑步机的时候，跑着跑着心脏骤停了。身边又没有人。然后就没了。,2026-03-26 12:29:13,0,0,对自己残忍就是对敌人残忍，对自己仁慈就是对敌人的仁慈,浙江,否,https://i2.hdslb.com/bfs/face/4fbf23c67f9c4340cb99f21dd72cb413a86121ce.jpg
46,0,294198562625,3546842100927257,广东2025,4,保密,心态真的很重要。我97年就发现肿瘤！还是喉咙位置！动不了手术！家里97年就买了棺材了。到现在都没死！就是97年开始就全身发抖，说话都痛！我当时放弃治疗想着浪费钱还治不好，干脆不治了，当时还在读小学，到现在肿瘤去年就开始慢慢变小，已经消失了！人算不如天算，平常心对待每一天,2026-03-26 04:40:16,25,169,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
47,294198562625,294211634785,517081980,初初186,6,女,这些年一直没治？,2026-03-26 07:35:27,0,6,,天津,否,https://i0.hdslb.com/bfs/face/5f4df015722d154f1ec36beae832de6d2787eeea.jpg
48,294198562625,294213374657,40441693,有人隽,6,男,治疗了可能还活不了这么久,2026-03-26 08:01:31,0,11,,湖南,是,http://i1.hdslb.com/bfs/face/e80178ddc19b3bd528916520f3dea8ead59fa1ac.jpg
49,294198562625,294214807281,416766874,丶森淼丶,6,保密,真厉害，那这些年治疗了吗,2026-03-26 08:21:45,0,4,努力后的明天会更好,安徽,否,https://i1.hdslb.com/bfs/face/c3ef04ba6c267c41067cd7708b7abd60c0c5c49f.jpg
50,294198562625,296729651872,328052340,嗨害嗨害嗨嗨害嗨害嗨,5,保密,是不是误诊了,2026-03-26 08:30:14,0,5,危,吉林,否,https://i0.hdslb.com/bfs/face/65e32b6d7880165f65bc71eb2d803f08bb4b85fa.jpg
51,294198562625,296730660096,22896503,奇音bili,6,男,可能是不那么致命的肿瘤，长时间保持好心情，身体产生的抗体，识别了肿瘤细胞自动清除了,2026-03-26 08:41:16,0,15,"回忆是最美好的故事
娱乐是最有趣的事情",江苏,是,https://i2.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
52,296730660096,296733026240,489386232,麦苗高高,5,男,回复 @奇音bili :肿瘤和心脏可不一样。肿瘤是慢慢侵蚀你的身体，身体机能一点点衰退，最后卧床。但是心脏可不一样，一出问题就是急病，来不及抢救就挂了。,2026-03-26 09:07:16,0,4,关注中国周边的大小事,河北,否,https://i0.hdslb.com/bfs/face/eb824f8d45e0b675101f98f36ed187d8b9b8dbc2.jpg
53,296730660096,294218249713,513221180,桐目茼,5,保密,回复 @奇音bili :估计是良性，肿瘤成型后不长也不扩散之后身体自然机化了肿瘤组织,2026-03-26 09:08:03,0,7,,江苏,否,https://i2.hdslb.com/bfs/face/c2f521792e0a417867451c5f87140037c6648f62.jpg
54,294198562625,296734514864,210097187,玉喻晓,6,保密,应该是良性的。有点幸存者偏差了，,2026-03-26 09:22:28,0,6,我这个人懒死了，什么也不想写つ﹏⊂,浙江,否,https://i2.hdslb.com/bfs/face/abdeadd0e8fd48f475d70a44e00b4b20dcd1c2da.jpg
55,296733026240,296735451872,22896503,奇音bili,6,男,回复 @麦苗高高 :肿瘤也分恶性和良性呀,2026-03-26 09:32:07,0,0,"回忆是最美好的故事
娱乐是最有趣的事情",江苏,是,https://i2.hdslb.com/bfs/face/eb101ef90ebc4e9bf79f65312a22ebac84946700.jpg
56,296729651872,294220830561,3546842100927257,广东2025,4,保密,回复 @嗨害嗨害嗨嗨害嗨害嗨 :喉咙长了3个有鸡蛋大小！,2026-03-26 09:39:56,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
57,294214807281,294221060641,3546842100927257,广东2025,4,保密,回复 @丶森淼丶 :没治疗！家里兄弟多，也穷。家里一听到要二三万就放弃了！97年的二三万！后来自己打工有钱了，但是也长到3个！动不了手术！,2026-03-26 09:42:25,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
58,294221060641,296736470896,1476307737,十点吃早饭,5,保密,回复 @广东2025 :你说的话为啥全有感叹号,2026-03-26 09:43:43,0,2,,山西,否,https://i0.hdslb.com/bfs/face/4ad1835d33d07bb244ed1739bf4c9af7da58c5db.jpg
59,294198562625,296739623296,689082706,波波一号号,3,保密,良性 不要动 就这样吧,2026-03-26 10:15:41,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
60,294198562625,296739578704,689082706,波波一号号,3,保密,97年发现的 到现在也赚了,2026-03-26 10:16:05,0,0,,江苏,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
61,294198562625,296740599200,552101911,流浪の闲猫o,5,男,良性的吧,2026-03-26 10:25:32,0,0,君指先跃动の光は、私の一生不变の信仰に、唯私の超电永世生き！,湖南,是,https://i1.hdslb.com/bfs/face/4db6bd145da5767b2cbb13bcf892f0386380ab14.jpg
62,294221060641,294225534689,416766874,丶森淼丶,6,保密,回复 @广东2025 :真神奇，看来医学也不都是正确的,2026-03-26 10:31:32,0,0,努力后的明天会更好,安徽,否,https://i1.hdslb.com/bfs/face/c3ef04ba6c267c41067cd7708b7abd60c0c5c49f.jpg
63,294198562625,296742497456,661346837,让阿蛋来看看,6,保密,误诊了估计，97年医疗还没这么发达。,2026-03-26 10:43:56,0,0,,北京,否,http://i0.hdslb.com/bfs/face/429b46a62f794e58182a6504e9a3e966c16c384b.jpg
64,294198562625,296743383984,38889935,66来福,6,保密,牛逼,2026-03-26 10:52:13,0,1,,江苏,否,https://i2.hdslb.com/bfs/face/31550a573200988f5e15a10f88aa579b99716acd.jpg
65,294198562625,294228304177,502169896,风吹雨下人走,5,保密,良性的又没事,2026-03-26 11:00:54,0,0,,河南,否,https://i1.hdslb.com/bfs/face/7e72da719c60c97886dab9f744d1eabe05bdec92.jpg
66,294198562625,294229802577,3706928597305685,Mao_Yiyi,2,保密,这是良性肿瘤，不是癌。是恶性的，心态上天也救不了,2026-03-26 11:16:53,0,0,,北京,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
67,294198562625,294231710945,1534479550,鹿郦灬,5,男,天选之子,2026-03-26 11:36:14,0,1,昂扬不灭,湖北,是,https://i1.hdslb.com/bfs/face/bc24a5b0de2ac06b60763ba45fc69780cac9959e.jpg
68,294198562625,296747863664,2226812,捏鼠,6,保密,冒昧问一句，棺材后来如何处理的？,2026-03-26 11:36:57,0,0,,北京,是,https://i2.hdslb.com/bfs/face/be9d65205b6008d57c1ce92a75a1ac8b90f0bedc.jpg
69,296747863664,294235236705,3546842100927257,广东2025,4,保密,回复 @捏鼠 :还在老家的老房子放着,2026-03-26 12:13:44,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
70,294198562625,296751843936,254010904,月光手枪CD-Zone,6,男,这么说快三十年了，幸运,2026-03-26 12:15:36,0,0,篮球系up，主打NBA2K和优质海外视频搬运，会有各种篮球内容。,韩国,否,https://i1.hdslb.com/bfs/face/42d4a236fdac1377fc646deeaa712a8c6939215d.jpg
71,296751843936,294235730961,3546842100927257,广东2025,4,保密,回复 @月光手枪CD-Zone :80后和90后！这一辈的人，特别是农村。生活条件差。穷人生病基本自生自灭！90后还好点！我17岁才读小学6年级！,2026-03-26 12:19:17,0,0,,广东,否,https://i0.hdslb.com/bfs/face/member/noface.jpg
72,0,296746119824,3546975637080426,莫洛托夫鸡尾jiu,3,保密,这么有钱公司就不能雇个大厨做点健康的吗？唉,2026-03-26 11:19:04,5,11,,河南,是,https://i0.hdslb.com/bfs/face/member/noface.jpg
73,296746119824,296748161392,1030539128,天下第五g,5,保密,外卖方便,2026-03-26 11:38:44,0,2,,上海,是,https://i2.hdslb.com/bfs/face/42ed2c7e869b43511d0f9d48546221e8a85c74df.jpg
74,296746119824,296748188992,330708001,永恒的米兰德斯,6,保密,就是，我以前上班的公司还是个小公司，就几十个人，都专门请了做饭阿姨给做午餐,2026-03-26 11:39:35,0,0,,江苏,否,https://i1.hdslb.com/bfs/face/a86b0fd0460aff26fa1bf6954e77061478408c43.jpg
75,296746119824,296748148576,23066430,李奥瑞克的王冠,6,保密,他经常全国到处跑，不是一直在公司里面,2026-03-26 11:40:37,0,0,,吉林,是,http://i0.hdslb.com/bfs/face/member/noface.jpg
76,296746119824,296748372128,1889334,言叶灵响,6,保密,跟吃什么关系不大，他那个作息习惯补剂当饭吃也救不过来,2026-03-26 11:42:30,0,5,兴趣使然,广东,是,https://i0.hdslb.com/bfs/face/54334792ec4b0ae50f5eff5a4653ad6d54d3a649.jpg
77,296746119824,296750483952,13704118,五日三洗吾身,6,男,出结果了？是吃坏的吗,2026-03-26 12:01:58,0,0,沉迷自拔，不能学习。,北京,是,http://i1.hdslb.com/bfs/face/db1fdf99567decc3398dc503a805e90938932c15.jpg
78,0,294228929985,284589396,灰色留言板,6,男,还真是，还不如这个时候晕厥过去，众目睽睽之下大家还能帮他打个电话报个警啥的，下播后自己一个人在家锻炼反而真的危险了,2026-03-26 11:07:17,4,29,,广东,否,https://i0.hdslb.com/bfs/face/f07a4513da6e26dc4787a561a62bbd145f64c6b0.jpg
79,294228929985,294229937569,1451656982,嘉然想吃邪魔族幼虫,6,女,辣条😅,2026-03-26 11:17:21,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
80,294228929985,296746344224,11127346,栐恆の誓言,6,男,看新闻要看仔细，他是在公司健身突发不适紧急送医抢救无效死亡的,2026-03-26 11:20:52,0,5,我非常讨厌身上有纹身的人,广东,是,https://i1.hdslb.com/bfs/face/38467139955d815f07b90dca015c78095d025ff4.jpg
81,294229937569,296747503104,696674526,改名不能中大奖,5,保密,回复 @嘉然想吃邪魔族幼虫 :不至于应激吧,2026-03-26 11:33:31,0,1,,安徽,否,https://i0.hdslb.com/bfs/face/4add3acfc930fcd07d06ea5e10a3a377314141c2.jpg
82,294228929985,296747992160,953347,我是一个渣灬,6,男,没用  黄金抢救期就几分钟  除非救护车来回能这么快就到急救室,2026-03-26 11:38:27,0,3,只会二刀流切片 也自己打游戏 自己整个了皮套玩=。=,江苏,是,https://i1.hdslb.com/bfs/face/128e1260a03c3e244949e4d3b01e768e75224dd0.gif
83,0,296741491536,326929537,猪猪配音MV伴奏,3,女,我感觉他这个时候已经不舒服，胸闷之类的，但可能他觉得身体不行等于要多运动。和我上学那会，感冒发烧，老师说跑跑步，流流汗就好了一回事,2026-03-26 10:34:43,5,45,各类配音MV素材伴奏 素材指路 企鹅：2804273558 唯心：xiaokefu2077 在线时间段：9:00-23:00,安徽,否,https://i1.hdslb.com/bfs/face/47379a1376c7a107e07b11a1168aa4c9c9c354aa.jpg
84,296741491536,294227414993,92993974,凡凡看风景,5,男,对，很多不懂的人真这么干，我家有个长辈，关节扭伤，他觉得就要多运动就好了，最后去做手术,2026-03-26 10:51:59,0,6,"这时候很多人就慌了
其实不用慌！",湖北,否,https://i1.hdslb.com/bfs/face/b0109e12ddba5faac8ceafc320db08d1b0ff2ea3.jpg
85,296741491536,294229946193,1451656982,嘉然想吃邪魔族幼虫,6,女,辣条😅,2026-03-26 11:17:36,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
86,294227414993,294229826513,1451656982,嘉然想吃邪魔族幼虫,6,女,回复 @凡凡看风景 : 辣条😅,2026-03-26 11:17:39,0,0,Ծ‸ Ծ可爱捏Ծ‸ Ծ✌✅❇️✨⏬✊❇️✅⏬⏬✌❇️✨⏬✊❇️✅,安徽,是,https://i2.hdslb.com/bfs/face/67b3e27f6ed4975cceca1a00c47f968e1caf5299.jpg
87,294229826513,294233336193,92993974,凡凡看风景,5,男,回复 @嘉然想吃邪魔族幼虫 :啥意思,2026-03-26 11:54:26,0,0,"这时候很多人就慌了
其实不用慌！",湖北,否,https://i1.hdslb.com/bfs/face/b0109e12ddba5faac8ceafc320db08d1b0ff2ea3.jpg
88,294229826513,294235043697,3546881772750890,名菏,4,保密,回复 @嘉然想吃邪魔族幼虫 :蛙蛙是不想暴露自己的真实lP吗[星星眼][偷笑],2026-03-26 12:10:31,0,0,这个人很神秘，什么都没有写,江苏,否,https://i2.hdslb.com/bfs/face/23e30b0ac29a607499791a2a6c25e30cbe554f13.jpg
89,0,296688080288,3546977048463920,你不要再说了哦,5,保密,真就是一念之间，如果他累了是去睡觉而不是跑步，就完全是另一种结果[捂脸],2026-03-25 22:41:38,21,756,谢谢你来看看，愿所有小确幸都向你靠近。,天津,否,https://i2.hdslb.com/bfs/face/e9717b59c9ef5a6553f14c722dc6d0c82d645199.jpg
90,296688080288,294178964433,284581190,给哔哩起名字,6,保密,他消耗到这个程度要休息至少好几天的，不是一场觉能解决,2026-03-25 23:47:38,0,266,,海南,是,https://i2.hdslb.com/bfs/face/27af00d60f0e7487901290c163ca5abab1d217b9.jpg
91,296688080288,296699404176,8963707,CN_花剑雪,6,保密,睡觉也不顶用，这种肯定已经不舒服到极点了，应该意识到不是自己能缓过来了，该打120的，我老妈前些天肩颈不舒服带头疼，本来我打算第二天带她去按一下，结果当天晚上就带去理疗了，自己的身体自己还是得有数的，今年过年我这边有个远房亲戚就心梗走了，也是觉得自己不舒服睡一下就好，然后就走了,2026-03-26 02:24:40,0,220,笨蛋笨蛋大笨蛋,湖北,否,https://i1.hdslb.com/bfs/face/2a04de937b9fcea6d6ae8f0e2c6f9dd5371cb242.jpg
