序号,上级评论ID,评论ID,用户ID,用户名,用户等级,性别,评论内容,评论时间,回复数,点赞数,个性签名,IP属地,是否是大会员,头像,ai_prob,human_prob,conclusion
16,0,292004016608,299679727,眼泪会流,5,男,就这吗？我还以为是超级女鬼以小搏大百万进图千万撤呢[怪我咯][怪我咯],2026-02-14 02:17:53,33,721,愿伟大的洛琪希神保佑我们，以端庄的神之姿怀抱大地，以湛蓝的神之瞳光耀苍天，以和煦的神之容感化万物，以温婉的神之言净化心灵。,山东,否,https://i1.hdslb.com/bfs/face/b618c902508dcb13b8faeb3461e94ddda5223cc7.jpg,0.04407191276550293,0.9559280276298523,人类撰写
17,0,289810500321,19251653,哈欠____,6,保密,有的人是绿裤子杀手 有的人是绿裤子杀手[汤圆],2026-02-14 05:59:25,7,551,一条ylg,河南,否,https://i2.hdslb.com/bfs/face/e02a9eb41f4241a37e81b4b78b4a982833874bb8.jpg,0.036170594394207,0.9638293981552124,人类撰写
18,0,292316262208,1996730006,昵称很重要吗啊,4,保密,手游求点评[抱拳][抱拳][抱拳],2026-02-16 07:55:26,19,162,,安徽,是,https://i2.hdslb.com/bfs/face/7e72c58637ff26df68fb30939de078d2bbbfcdbe.jpg,0.1647881269454956,0.8352118134498596,人类撰写
19,0,291998012976,345028138,卞-下,6,男,"站在你面前的是
2025ALGS利雅得季中赛，EWCapex项目世界冠军",2026-02-14 01:16:05,36,992,？？？你是怎么发现我的,江苏,是,https://i1.hdslb.com/bfs/face/8b566a6d0949e5a97b89629874c7a9a20b25660e.jpg,0.06754053384065628,0.9324594736099243,人类撰写
20,0,290937582449,24852590,单纯爱睡觉-,6,保密,我知道了这裸枪aw是以前世界赛无镜子3030圈内给队友抽紫甲练出来的,2026-02-23 03:45:57,3,3,每颗螺丝都松动了不经意间生活便会坍塌。,安徽,是,https://i2.hdslb.com/bfs/face/15b41da5222b50adf5ab2748ae360c178be9de0c.webp,0.013673287816345692,0.9863266944885254,人类撰写
21,0,292110312961,408394787,一只普通僵尸罢了,6,保密,单排跑刀老鼠 偶尔绝密玻璃大炮 求点评,2026-03-04 16:52:56,8,13,wbg赛区粉wbg战队粉  铁血僵尸  ,山西,是,https://i2.hdslb.com/bfs/face/6e99bd457eaf8149a6e2f35aca39c261e0081264.jpg,0.022032838314771652,0.9779671430587769,人类撰写
22,0,292407000576,3546761834530900,博才的初二牲,4,男,"我操了
比我强
SV-98
7.62.54R AP
我最多就机瞄打掉一队
还是在机航
不是绝航",2026-02-17 00:56:39,13,0,咕咕咕,辽宁,否,https://i1.hdslb.com/bfs/face/c5d953c126312986111c298e020a278698920844.jpg,0.015366294421255589,0.98463374376297,人类撰写
23,0,292048686544,25100434,其实是时柒,6,男,为什么打完黑室不上去给总裁的宰了，是地图理解的问题还是啥,2026-02-14 08:42:11,6,1,,吉林,否,https://i1.hdslb.com/bfs/face/da87a56b0f4af58eb6a4a5b541e56909140b80b8.jpg,0.01359193492680788,0.9864081144332886,人类撰写
24,0,292005949872,126019103,希露的远古水晶,6,保密,现役职业选手都这么猛，早就转洲的前队长和前指挥多猛我都不敢想,2026-02-14 02:36:21,22,952,"世上存在着不能流泪的悲哀，

这种悲哀无法向人解释，

即使解释人家也不会理解，

它永远一成不变，

如无风夜晚的雪花静静沉。",河南,否,https://i2.hdslb.com/bfs/face/27575e2853187ff2dbf7516ae6d4d0ea0221c184.webp,0.05691921338438988,0.943080723285675,人类撰写
25,0,289793710737,471756394,难问归期,5,男,为啥第1波威龙上来直接就倒了，我在靶场弄6头六甲，打头好像还倒不了啊，为啥？威龙没满血吗？,2026-02-14 03:41:06,7,5,呼~,辽宁,否,https://i1.hdslb.com/bfs/face/8f1f2d515ae81ab96bb3a460b48bd2be3aaa4d08.jpg,0.031658027321100235,0.9683419466018677,人类撰写
26,0,292098599568,3546980741548427,季灾一,3,保密,每次看到这种水平的大神和人打架都这么惊险[笑哭]我总会断了练技术变强的想法，还是老老实实当鼠鼠吧,2026-02-14 15:03:53,7,8,"偏打滚，好双标，易共振，好扣帽，爱速滑，喜代表。
————互联网极端群体特点。
",内蒙古,否,https://i2.hdslb.com/bfs/face/15b98a8d014724bc70f904c0dc8c850790c6ecf8.jpg,0.025135179981589317,0.9748647809028625,人类撰写
27,0,292120035520,3690993534634234,电报短信工作室,2,保密,喜欢开雷达玩？,2026-02-14 18:48:12,8,1,,江西,否,https://i1.hdslb.com/bfs/face/6a627432f5eb59bd2bfa13f7c1725bcecde736b5.jpg,0.04867548495531082,0.951324462890625,人类撰写
28,0,291997909152,176882726,阿坟__,6,保密,我的开局看扁所有人和一帧拉枪呢,2026-02-14 01:15:26,44,3171,,海南,否,https://i2.hdslb.com/bfs/face/9abf32e90fafcb1cc18afa25d76059c0a15db15d.jpg,0.01455770619213581,0.9854422807693481,人类撰写
29,0,289779589137,179423265,是诃绾啊,6,男,一个野人，有点fps天赋给你狂的[FTJ_略略略],2026-02-14 01:22:50,8,240,我是人类,河南,是,https://i0.hdslb.com/bfs/face/721387d852570dc191418b0b27cc278b9da36e46.jpg,0.055395375937223434,0.9446046352386475,人类撰写
30,0,289935353921,5218296,百事-三角洲行动,6,男,【王者荣耀】功夫厨神TUU5IB【我的小虎糕今天987块】复制链接前往活动，快来我的小虎市集出售吧！,2026-02-15 05:07:17,3,6,跑刀：baishi3jz,江西,否,https://i0.hdslb.com/bfs/face/bd54db0437b147095ab6698dcecd6446e53ee3fe.jpg,0.9665150046348572,0.03348497301340103,AI生成
31,0,292394956576,692679246,抓到我就让你潶,5,保密,有没有高手指点一下我，平常绝密对局就起玻璃大炮，没有强力的固排，常常一拖二，在队伍里玩突击位，游戏对局里负责突破的同时兜底，感觉kd就是上不去3.5以上，想kd上4。,2026-02-16 18:58:15,2,1,,北京,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.013071548193693161,0.9869285225868225,人类撰写
32,0,292183308624,22692310,恶虐轮回,6,保密,参数不低啊,2026-02-15 08:27:22,5,3,专业猪肉烹饪,河南,是,https://i1.hdslb.com/bfs/face/3802c7bbe1abe8dfa5db2ec2f3544d4d1b07c02f.jpg,0.040548715740442276,0.9594512581825256,人类撰写
33,0,290000427169,695894052,Raif_Lower,5,保密,好奇问问，闸是养的老鼠拉的吗，混烟撤的为什么算清图,2026-02-15 14:10:39,2,38,庸俗的灵魂在丑陋的皮囊,江西,否,https://i0.hdslb.com/bfs/face/abefdfc256f1facab0fdabf455404a9c5ed8b0e1.jpg,0.02059316262602806,0.9794068336486816,人类撰写
34,0,289783392513,322018260,Perceva1,5,保密,超级三号位打三角洲也不吃资源，借两颗aw还你三套特里克，那么这么好的习惯是在哪里锻炼出来的呢,2026-02-14 02:03:37,8,649,我住的城市从不下雪,广东,否,https://i0.hdslb.com/bfs/face/62c0aac4a93b4c5b1933dee75331f2d78485a980.jpg,0.03123857080936432,0.9687614440917969,人类撰写
35,0,292519282736,3632310691826100,暮色笔记,3,男,注意，主播以前是猎杀,2026-02-17 19:23:28,6,1,,安徽,否,https://i0.hdslb.com/bfs/face/cdaadd6700be6fd4373977a6055a22fc29886540.jpg,0.08560922741889954,0.9143907427787781,人类撰写
36,0,292378471040,1821942623,析度,5,保密,感觉现在这个少爷甲没有必要拿了，昨天晚上打的，当时老兴奋了，赶紧接博士跑路，结果出去来一看，局内显示200多万的甲，回特勤处只能卖80万，但是只能到手60万[笑哭],2026-02-16 15:58:57,3,21,,浙江,是,https://i2.hdslb.com/bfs/face/3ab645f4bc19e5261aadeec1a59494c8876f1aed.jpg,0.021290790289640427,0.9787092208862305,人类撰写
37,0,292190409936,34809238,MellRhodes,6,保密,内个，Up用的是1080p屏幕么，这个帧数,2026-02-15 09:28:37,7,21,执伞渡冬雪，夏日换春秋,江苏,是,https://i1.hdslb.com/bfs/face/08d2bed21e65bea43f1a0fb12be3370bbb79ce22.jpg,0.029251210391521454,0.970748782157898,人类撰写
38,0,290170437537,223333570,胡吃海河桃,6,保密,能回本吗,2026-02-17 00:35:38,8,5,,江苏,否,https://i1.hdslb.com/bfs/face/5099c9711f5a7877547d00b6dec2a733ae4ac223.jpg,0.04862199351191521,0.9513779878616333,人类撰写
39,0,290445306305,3546589513649056,账号已注销_12567395,5,保密,up是apex的职业吗？还是apex猎杀？[笑哭],2026-02-19 08:01:31,5,524,"
ⓘ 该账号已注销",江苏,否,https://i1.hdslb.com/bfs/face/ac86c76c7ae3475d20e4a3cb66726f13139c2f7d.jpg,0.11073704808950424,0.8892629742622375,人类撰写
40,0,292013556577,354344990,挽离_,6,保密,正常打绝密，野排固排各占一半，固排就一直匹配护航，有的时候号借出去了，没借出去kd在3左右吧，什么水平[doge_金箍],2026-03-03 17:28:57,3,1,"Q+3492474620,接三角洲代肝",江苏,否,https://i2.hdslb.com/bfs/face/ffe91dfe8d68f79bef89494ddb93c426b6fd0d96.jpg,0.021033035591244698,0.9789669513702393,人类撰写
41,0,290280486977,2055880297,恥ずかしいな,4,保密,玩的这啥呀？还黑屋呢，对局强度这么低，我对局强度高，敢不敢带我打两局？[疑惑][疑惑][疑惑],2026-02-17 19:41:50,6,12,没事玩玩三角洲，火影小2600，娱乐项目就是听听术力口,陕西,否,https://i1.hdslb.com/bfs/face/6295497dba0d990c2cda68acef504ea309a04298.jpg,0.0222636666148901,0.9777362942695618,人类撰写
42,0,290467031713,1799377176,捡垃圾赡养失智前妻,5,保密,这里是中国，禁止持枪伤人[doge],2026-02-19 11:26:42,3,6,,重庆,否,https://i0.hdslb.com/bfs/face/5f9f92bd8ae91b0a99e4aa6204d43a7e7191206e.jpg,0.15508927404880524,0.8449106812477112,人类撰写
43,0,291680727873,288019654,我真不爱玩三角洲,6,保密,我这有劲吗,2026-03-01 00:46:34,5,13,,甘肃,是,https://i1.hdslb.com/bfs/face/1107a05bd230bf0f5bccc7ea9cb53d902b0c1d8e.jpg,0.03251983970403671,0.9674801230430603,人类撰写
44,0,292011347136,341379318,渱瀮,6,男,跟鸡苗哨兵抽三个紫甲顺便分五瓶大电比还是舒服太多了,2026-02-14 03:25:24,4,173,终有一天你会明白,安徽,否,https://i0.hdslb.com/bfs/face/15f240a36a79932d6b6007a1e75a911fcbfd273b.jpg,0.024086017161607742,0.975913941860199,人类撰写
45,0,289807527777,439320153,二阶堂希羅,6,保密,没有花里胡哨的操作，只有干净和极致的瞄准，这才是我想看的,2026-02-14 05:33:29,3,54,喜欢过去的自己,广西,是,https://i0.hdslb.com/bfs/face/1f950261850a9900509e307d2a7b7fb882e7a42e.jpg,0.1488507241010666,0.8511492609977722,人类撰写
46,0,289869599217,374364571,草莓芝士千层-,6,保密,三角洲行动【F8FQGFM】我今天的货商【张顺飞】出价【0.08】拜年币，复制口令来一起发财！-02月29日,2026-02-14 14:13:47,1,1,ⓘ该账号封禁中,黑龙江,否,https://i1.hdslb.com/bfs/face/44a7ba7d1a28e365d8faa06a2ed751070c95a0b9.jpg,0.3975291848182678,0.6024707555770874,人类撰写
47,0,290135245505,702508194,我命令你骂他,5,保密,我看是开了，而且可能不止开了显示器，可能还用了鼠标和键盘，主机应该也是开着的,2026-02-16 14:39:41,4,23,你好,福建,否,https://i0.hdslb.com/bfs/face/9a66e546e81e7e3fea59288b8ae5d83dfa552906.jpg,0.030301587656140327,0.969698429107666,人类撰写
48,0,292767977216,3494359146170715,fufu伴一生,5,保密,都什么年代了，还在打打杀杀,2026-02-19 22:06:17,4,23,,江苏,否,https://i0.hdslb.com/bfs/face/1d6e311b6b76b12389a2de0c488fdd8b58abf298.jpg,0.026915712282061577,0.9730842709541321,人类撰写
49,0,292040846704,627676911,悠一wakareno,6,保密,吊叔神了,2026-02-14 07:30:42,26,7595,wb：@悠一Wakareno   你和我十指紧扣,湖南,是,https://i0.hdslb.com/bfs/face/3a04990eebbfd5ea78ae4b2d8f31bf6beb4ea71d.jpg,0.056470293551683426,0.9435297846794128,人类撰写
50,0,290059567761,336576484,神威门仙山蓝骑士,6,男,包里的六格正好把自己aw放进去多带一把枪,2026-02-16 04:17:15,4,47,,广东,否,https://i1.hdslb.com/bfs/face/fe05a00ad5566e40219e14859bf06227398cf38c.jpg,0.021200597286224365,0.9787993431091309,人类撰写
51,0,292925157216,525581102,QEYIS,6,男,所以说强到一定程度。打绝密用uzi也能清图是吗[笑哭][笑哭][笑哭],2026-02-21 02:37:17,5,4,"q+2998431590
v加17782361654",重庆,否,https://i2.hdslb.com/bfs/face/09e2b2b9432afa5ca0cf59d90b9f188828a7560b.jpg,0.01608305424451828,0.9839169383049011,人类撰写
52,0,290030409361,20343976,SxxXfr,6,男,昨天跑刀在蓝室用野牛打死一个单三A大无头无甲风衣，是不是你带出来的兵[笑哭],2026-02-15 20:36:30,4,18,我就是什么都不写︿(￣︶￣)︿,海南,是,https://i1.hdslb.com/bfs/face/a598e0a31d19fe921ef14c94d8bc425f9e0ff60d.jpg,0.027831530198454857,0.9721684455871582,人类撰写
53,0,292061938016,338279708,墨吊忆,6,男,那天我拉着老吊[大哭]，我说你别去绝密航天[大哭]那不是家，他拿着aw硬要说这是充能哨兵，就冲上去了[大哭][大哭][大哭],2026-02-14 10:28:48,2,48,"飞车牢玩家，Apex单排大师，瓦国服神三
up分vx:moy1ya96",海南,是,https://i2.hdslb.com/bfs/face/347031846425b64c0d421e634e3e796c8ee5d440.jpg,0.05209122598171234,0.9479088187217712,人类撰写
54,0,289779764161,1351052769,阿由的猫,6,保密,吊哥到三角洲也一点资源都不吃吗[疼],2026-02-14 01:23:22,5,548,,河南,否,https://i0.hdslb.com/bfs/face/fb30094b7b8e969be8ce325728823b5d28050ac5.jpg,0.02534923516213894,0.9746508002281189,人类撰写
55,0,292125373552,10953812,y安0,6,保密,原来悠一失去的上半身在你这,2026-02-14 21:29:24,2,62,与生活对线中.......,江苏,是,https://i2.hdslb.com/bfs/face/931fb24a3d3d103a29f3d20ed4d8a7816270a8ae.jpg,0.01811017282307148,0.9818898439407349,人类撰写
56,0,290011913777,3461567179917458,徜徉的水星金毛吼,4,男,所以为什么全叫匿名玩家xxx？,2026-02-15 15:42:41,6,4,,海南,否,https://i2.hdslb.com/bfs/face/202b7648c6b8e5ed7aa0389b6221eef966a3d403.jpg,0.04061950743198395,0.9593805074691772,人类撰写
57,0,292195859313,1972488979,吥辞-,5,保密,3：50，这个动态视力太变态了，甚至信条都切出来了准备打掉钩索,2026-03-05 15:18:14,4,3,全家桶～,福建,否,https://i1.hdslb.com/bfs/face/3d5fae7897bbbe7cd598bc3db484da51b1ac2fc6.jpg,0.20149241387844086,0.798507571220398,人类撰写
58,0,290377970577,3546689692502784,懒狗冰岛入,4,保密,实战中发现敌人会被两枪打死，你不炸了吗[doge_金箍]？,2026-02-18 15:09:21,2,1,,广东,否,https://i0.hdslb.com/bfs/face/e47068bc1790e1f7d32a4e03c719e1ddd70c5b58.jpg,0.11770134419202805,0.8822986483573914,人类撰写
59,0,289787181425,8425884,九二森,6,保密,"唉，真羡慕有的人省时省力，只需要在简介写四个字
世界冠军",2026-02-14 02:40:55,5,226,Fps爱好者,山东,否,https://i0.hdslb.com/bfs/face/3db466cab67e5d2a612371a9a33f1d85628319cb.jpg,0.2931763231754303,0.7068236470222473,人类撰写
60,0,290079476625,265633962,沐路丶,6,男,我要被这种蜂医一串三灭队了，别说举报键摁烂，蟑螂地下的工作室我都得给它炸了[doge],2026-02-16 07:06:14,2,51,给我个小小的攒啦。。,湖南,是,https://i0.hdslb.com/bfs/face/39fc37eb6b2f877b84797929fd8292e457c0db32.jpg,0.05535664036870003,0.9446433782577515,人类撰写
61,0,289894987537,524671372,愿人人都被爱,5,保密,跟悠一双排的话俩人拿把刀进来就清图了[笑哭][笑哭][笑哭],2026-02-14 18:13:19,1,0,是谁偷了我的拼好饭,河南,是,https://i1.hdslb.com/bfs/face/64a0bddb0c32eab0caaa93ad71d12c79f11255eb.webp,0.01313784159719944,0.9868621826171875,人类撰写
62,0,290986845041,693546563,不用饭盒,2,保密,谁给我优化一下，想的是监狱速吃物质点，只打过一把监狱但感觉挺上头的[吃瓜],2026-02-23 10:56:55,2,12,,湖南,否,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.02084227278828621,0.9791577458381653,人类撰写
63,0,289845001297,92988070,源中人,6,保密,鼠鼠玩家看不得这些，每个人都三百万入场，最后能带走的也不过三百万,2026-02-14 11:02:45,3,8,妄想家,河南,否,http://i2.hdslb.com/bfs/face/90c306e2cbc25e6366e9c8221806a2bbc1711777.jpg,0.0212261900305748,0.9787737727165222,人类撰写
64,0,289794120353,33611880,wodex1nhaoIeng1,6,保密,有甲修吗能分我个甲修吗,2026-02-14 03:45:32,5,215,过去的关系全都无力维系,山东,否,https://i0.hdslb.com/bfs/face/6a8db1f6161af93035c5bdbfcd41fcfada007052.jpg,0.03142547979950905,0.9685745239257812,人类撰写
65,0,294155000528,1591170428,在下凌夕,5,保密,我是区,2026-03-02 08:35:53,4,9,,江苏,是,https://i2.hdslb.com/bfs/face/69445ed81947d97544fa6a69de6074af9df4c93e.jpg,0.13950775563716888,0.8604922890663147,人类撰写
66,0,292616698672,325489020,卡门古拉,6,男,为什么开局开门能那么顺啊，我开这门必须得顿一下，上面的保险门也是,2026-02-18 14:30:28,2,5,一个普通人,湖南,否,https://i0.hdslb.com/bfs/face/51ccb766d0e6e1d0fa2c921fbc93eb6f891dba37.jpg,0.02491363137960434,0.9750863909721375,人类撰写
67,0,292141062976,386099001,那那神,6,保密,就这吗？我还以为是超级女鬼以小搏大百万进图千万撤呢[怪我咯][怪我咯],2026-02-15 02:21:17,1,2,ふたりの愛した青,河北,是,https://i0.hdslb.com/bfs/face/ab8657154194abf153f4f58e1072a1a841f5a118.jpg,0.04407191276550293,0.9559280276298523,人类撰写
68,0,293287312001,620040161,望穿她盈盈秋水_,5,男,端游求点评（其实就打了不几局绝密）[脱单doge],2026-03-16 17:59:13,2,2,,河北,否,https://i2.hdslb.com/bfs/face/7165ba4853ba681b96d4091ccaa67f544f7a5f67.jpg,0.05961902439594269,0.9403809309005737,人类撰写
69,0,290152568865,494585,准时摸鱼的卢屋,6,保密,这拉枪定位已经是参数猛拉的级别了，这就是世界顶点的实力,2026-02-16 17:00:11,1,40,八点了，该摸了。,广东,是,https://i2.hdslb.com/bfs/face/92cba40fec938651b5393f0760b0e902683625a4.jpg,0.04627423360943794,0.9537258148193359,人类撰写
70,0,292472395376,1084773240,锦穿,4,保密,这个m7模型是真好看，有人有相同的吗,2026-02-17 11:18:38,3,10,,湖南,否,https://i0.hdslb.com/bfs/face/6067465dbdddf733fc0c21eaebe8829bd236e7ac.jpg,0.025518959388136864,0.9744811058044434,人类撰写
71,0,292432807360,3546789827316447,梓而曦之,4,男,手游，里面有一部分是跑刀，这种实力怎么评,2026-02-17 05:04:51,2,4,"蔚蓝档案
鸣潮
王者
和平
三角洲
王牌竞速
终末地
崩坏星穹铁道
二次元！！！！！！！！！！！！！！！！！！！！！！",安徽,否,https://i0.hdslb.com/bfs/face/05c5198802021023b3898fb0b63250115736cb06.jpg,0.042598068714141846,0.9574018716812134,人类撰写
72,0,292347698688,130129147,哭哈维尔对啊,6,保密,你这让隔壁那个什么ha盾主播情何以堪，别人还在机密找存在感阴阳自己的盾巨超模[笑哭],2026-02-16 12:05:17,4,19,,浙江,是,https://i0.hdslb.com/bfs/face/member/noface.jpg,0.016857150942087173,0.9831427931785583,人类撰写
73,0,292012743584,13212003,从小就很0vo,6,保密,吊哥，咱们也去抖海镀金回来恰阿姨大米吧,2026-02-14 03:36:44,2,170,纯良不会有好下场,重庆,是,https://i0.hdslb.com/bfs/face/27494ae6735a2998026236ebc7f32029e4709ec4.jpg,0.016932152211666107,0.9830678105354309,人类撰写
74,0,292171408256,365324412,沐阳安良,6,保密,这玩意儿可比科莱博好使多了[doge],2026-02-15 06:40:04,2,1,究极缝合人，什么都玩，什么都播。,陕西,是,https://i0.hdslb.com/bfs/face/ce3d99db083f658ce1451b5cf031816910208175.webp,0.0347423180937767,0.9652577042579651,人类撰写
75,0,289791645041,556998,Rainnes丶,6,男,神他有几个世界冠军？,2026-02-14 03:23:18,3,3,,安徽,是,https://i0.hdslb.com/bfs/face/426f3eb1967b0de47d0de386ec00e48fc96cf87d.jpg,0.040156830102205276,0.9598431587219238,人类撰写
76,0,289857430865,1527435779,何以战_,5,男,据枪跟机瞄哪个好用,2026-02-14 12:40:15,5,7,原人堕落成世俗，终岁不见自由神。,广东,否,https://i2.hdslb.com/bfs/face/08331606963d392b618e6825a7a7b904c52cb3a4.jpg,0.019716721028089523,0.9802832007408142,人类撰写
77,0,292157266320,3537120656362321,明日方舟-哈基风,5,男,三角洲行动【T3MMU2UN】我今天的货商【滚目】出价【0】拜年币，复制口令来一起发财！-02月15日,2026-02-15 04:41:04,1,3,,河南,否,https://i1.hdslb.com/bfs/face/49ee6c588ed2546557c4ec5bdc480c74f53fb47b.jpg,0.5220650434494019,0.47793495655059814,AI生成
78,0,289871418849,23136983,天花板观察者,6,男,打的可以，爱看[阿梓从小就很可爱新装扮_打call][阿梓从小就很可爱新装扮_打call][阿梓从小就很可爱新装扮_打call],2026-02-14 14:26:44,1,0,我爱夏天,江苏,是,https://i2.hdslb.com/bfs/face/b6a18ba372bb43e2e97815c23fcd2fb108b494f1.jpg,0.02188749983906746,0.978112518787384,人类撰写
79,0,290094764273,687018484,彩季詩得,6,保密,吓哭了 这种被叫成挂真不冤枉 绝航碰到这种我直接给了,2026-02-16 09:20:25,1,1,来我空间查我成分的小朋友你们好呀,上海,否,https://i1.hdslb.com/bfs/face/b14b53fd913fa0f0a1d0df139f7204c9ba6adf21.jpg,0.022154225036501884,0.9778457283973694,人类撰写
80,0,289805998177,157386498,涛仔ovo,6,保密,对味了,2026-02-14 05:22:05,1,24,,广东,否,https://i0.hdslb.com/bfs/face/6ace44300c05562559295e34e6f78c06c4e75317.jpg,0.039379771798849106,0.9606201648712158,人类撰写
