index_label,content,time,userId,nickname,likedCount,name,is_hot
43,"卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神卑鄙哇去吧瞬间就爱上雷神
卑鄙哇",2026-03-23 10:31:17.297,8921942955,天真烂漫阿瑜,3,耀斑,False
44,Baby😕 watchin'👀 burn!🔥Send✉️ death💀 to➡️ isolation↗[怒]Oh😯 watchin'👁 burn!💥ain't👊 got😮 no❌️ hesitation[痛苦]Watchin'👀 burn!🔥We're😕 fallin'⬇️ higher⬆️ Oh→ oh↑ oh→ oh↑ oh→ oh↗ oh→ oh→ oh↗️↘️,2026-03-23 09:09:28.256,8741091419,EmiyaShirano,2,耀斑,False
45,爱上雷神！！！,2026-03-23 08:36:20.212,3250419796,Uofficial,3,耀斑,False
46,你说得对，但是Baby😕 watchin'👀 burn!🔥Send✉️ death💀 to➡️ isolation↗[怒]Oh😯 watchin'👁 burn!💥ain't👊 got😮 no❌️ hesitation[痛苦]Watchin'👀 burn!🔥We're😕 fallin'⬇️ higher⬆️ Oh→ oh↑ oh→ oh↑ oh→ oh↗ oh→ oh→ oh↗️↘️,2026-03-23 01:04:14.508,7918913047,拭雪意,1,耀斑,False
47,卑鄙哇去吧，瞬间就爱上雷神。哦哇去吧，一卡的还上雷神哦哇去吧，一克佛为蚝油我欧，我欧我哦～～～～,2026-03-23 00:11:40.376,9071191560,漫步在上世纪的雨季,5,耀斑,False
48,接,2026-03-23 00:06:16.524,13181157248,冷面小青龙-_,0,耀斑,False
49,Baby😕 watchin'👀 burn!🔥Send✉️ death💀 to➡️ isolation↗😡Oh😯 watchin'👁 burn!💥ain't👊 got😮 no❌️ hesitation😫Watchin'👀 burn!🔥We're😕 fallin'⬇️ higher⬆️ Oh→ oh↑ oh→ oh↑ oh→ oh↗ oh→ oh→ oh↗️↘️,2026-03-22 23:18:59.226,12273476769,螺芙鲜粥,2,耀斑,False
50,卑鄙挖去吧紧接着爱上雷神[愤怒][愤怒][愤怒],2026-03-22 22:30:13.829,13615509239,肆佰陆拾,3,耀斑,False
51,网上说说得了，现实里谁不想急头白脸的边补作业边听耀斑,2026-03-22 22:07:25.021,13640918116,单名一个婷,0,耀斑,False
52,哈，已上天堂了,2026-03-22 21:59:57.597,17365005531,万业亿劫无相妙法仙,0,耀斑,False
53,辣卤客，我为你带来烩面了！！！！！！！！！,2026-03-22 21:40:38.660,13368789322,山水whit,2,耀斑,False
54,我恰鸭脖！我恰鸭脖哦~~,2026-03-22 21:34:05.716,1837438164,你也要开心鸭,0,耀斑,False
55,卑鄙哇去吧瞬间就爱上雷神😡,2026-03-22 21:29:17.560,630388755,v呐呐v,3,耀斑,False
56,听完直接全部都给我去爱上雷神😡😡😡,2026-03-22 21:27:54.312,17372721966,绿豆饼_s,0,耀斑,False
57,Baby我去嗨！！！！瞬间就爱上雷神～～～～Oh我去嗨～～～～,2026-03-22 21:17:25.457,13587196950,然awa,0,耀斑,False
58,卑鄙我去吧 瞬间就爱上雷神！[呲牙],2026-03-22 20:50:46.087,3312337886,酸恬麻麻,1,耀斑,False
59,"一阵强劲的音乐响起：
Baby😕 watchin'👀 burn!🔥Send✉️ death💀 to➡️ isolation↗【怒】Oh😯 watchin'👁 burn!💥ain't👊 got😮 no❌️ hesitation😫Watchin'👀 burn!🔥We're😕 fallin'⬇️ higher⬆️ Oh→ oh↑ oh→ oh↑ oh→ oh↗ oh→ oh→ oh️️",2026-03-22 20:50:33.997,17456676670,清云Herta,0,耀斑,False
60,我错了我错了  我活该这么晚回游了  米哈游求你再复刻一次白厄吧 我爱上雷神还不行吗😭🙏,2026-03-22 20:32:37.719,8211032321,炼狱的蕾娜叫壹决,3,耀斑,False
61,好！这辈子就栽在米忽悠上了,2026-03-22 20:26:48.970,17367763555,流浪者和小杜林的狗,1,耀斑,False
62,3抽桀桀桀,2026-03-22 20:10:41.100,12832417958,下水道阴暗食人鱼偷吃喜之郎,1,耀斑,False
63,活动最后一天去打主线 听到卡拉OK里面有这一首 不自觉就跟着唱起来了,2026-03-22 19:58:01.363,405964974,眠月丶,0,耀斑,False
64,卑鄙我去吧谁阶子爱上雷神！！！,2026-03-22 19:55:52.036,8880159921,ELAISXY,4,耀斑,False
65,接！,2026-03-22 19:09:42.420,12112110256,佐助兔斯基,0,耀斑,False
66,baby我去吧瞬间就爱上雷神😡,2026-03-22 18:46:40.429,13461987661,忧郁到底是啥几把意思,2,耀斑,False
67,接,2026-03-22 18:18:44.191,9693893126,me是高冷Boy_,0,耀斑,False
68,评论,2026-03-22 17:31:41.602,17458494469,白泽165,0,耀斑,False
69,接,2026-03-22 17:31:41.339,13672830877,红烧炸酱意大利面,0,耀斑,False
70,评论,2026-03-22 17:31:29.589,17458494469,白泽165,0,耀斑,False
71,悬封城是不是没有字典？,2026-03-22 17:05:07.630,7799392789,用户7799392789,0,耀斑,False
72,依旧爱上雷神,2026-03-22 16:00:48.037,3717715937,音游只因,4,耀斑,False
73,接,2026-03-22 15:56:07.220,17386563298,是黎栀酱,0,耀斑,False
74,结尾的副歌部分有拂晓的“哦～哦～”,2026-03-22 15:55:51.455,4022591809,盥洗室之主-愚者先生,1,耀斑,False
75,整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥整个翁法罗斯都为他倾倒💥💥💥,2026-03-22 15:38:55.147,13631992945,致早已逝去的双休,0,耀斑,False
76,黑色雷神🤓,2026-03-22 15:37:27.789,13631992945,致早已逝去的双休,0,耀斑,False
77,好,2026-03-22 15:35:59.258,13632261962,时停的夏天,0,耀斑,False
78,盾丹,2026-03-22 15:28:40.374,5124765511,宇智波_一护,0,耀斑,False
79,接,2026-03-22 15:24:55.252,2062555144,-鸢忆-,0,耀斑,False
80,请他们吃烩面,2026-03-22 15:24:39.656,5124765511,宇智波_一护,0,耀斑,False
81,请让幸福降临在卡厄斯兰那身上,2026-03-22 15:20:43.268,88601672,一代一山,1,耀斑,False
82,来古士砍不动,2026-03-22 15:19:32.847,5124765511,宇智波_一护,0,耀斑,False
83,爱上雷神[怒],2026-03-22 15:08:57.059,13208547920,骄弱大逼兜,0,耀斑,False
84,小白粘土人快快发货[流泪],2026-03-22 14:42:44.258,2047878179,AAA庄园五仁月饼批发商,0,耀斑,False
85,爱上雷神！,2026-03-22 14:32:17.771,8427215909,HYhahahha,0,耀斑,False
86,接,2026-03-22 14:26:22.614,12998520188,思念无声如风,0,耀斑,False
87,接,2026-03-22 14:23:42.136,3695162039,莫夏夏呀,0,耀斑,False
88,离开许战战,2026-03-22 14:23:17.428,529164358,科迪是这样的,0,耀斑,False
89,卑鄙我去吧现在就爱上雷神,2026-03-22 14:21:14.807,9072250516,Anaxagoras_xia,1,耀斑,False
90,哀丽秘谢的白厄，你的理想是什么？——那刻夏  我的愿望就是实现大家的愿望！——缇宝,2026-03-22 14:20:39.601,12257724468,不是都哥们儿,0,耀斑,False
91,想你了卡厄斯兰那,2026-03-22 14:14:18.669,1603421858,游魂无家,0,耀斑,False
92,谁懂在私人漫游随机到这个的救赎感,2026-03-22 14:13:49.123,6281098387,Me_一花一世界,0,耀斑,False
93,爱上雷神！！！！,2026-03-22 13:57:34.061,8971247165,小飞有个羽球梦,1,耀斑,False
94,爱上雷神[愤怒][愤怒][愤怒],2026-03-22 13:42:53.499,1296917240,潇de世界,1,耀斑,False
95,但他一个小保底都没给我准过,2026-03-22 13:35:27.663,5124751356,630上大分,0,耀斑,False
96,退游了还是被这首惊艳得反复听,2026-03-22 13:21:53.197,377602829,DD_J_,0,耀斑,False
97,好,2026-03-22 12:59:42.346,9943947335,你被开除了哦,0,耀斑,False
98,mt,2026-03-22 12:43:51.566,5124765511,宇智波_一护,0,耀斑,False
99,接,2026-03-22 12:19:32.494,3352391468,白大团子_,0,耀斑,False
100,爱上雷神！,2026-03-22 09:33:58.637,12879064693,永安大道,0,耀斑,False
101,接,2026-03-22 09:33:44.557,8710331060,謀事在陳-我终于能上画画课啦,0,耀斑,False
102,bro是辣卤客,2026-03-22 09:23:00.206,4875734404,匿名T氏desuwa,0,耀斑,False
103,接,2026-03-22 09:13:22.562,9090215992,myole_Bit灰痣诱饵,0,耀斑,False
104,爱上雷神,2026-03-22 07:32:23.366,12973230639,日向的绯夏,1,耀斑,False
105,一想到今年崩铁演唱会里的耀斑的主唱：[西西晕了][心碎],2026-03-22 05:50:38.776,326484381,博士生的男孩,3,耀斑,False
106,"一阵强劲的音乐响起：
Baby😕 watchin'👀 burn!🔥Send✉️ death💀 to➡️ isolation↗【怒】Oh😯 watchin'👁 burn!💥ain't👊 got😮 no❌️ hesitation😫Watchin'👀 burn!🔥We're😕 fallin'⬇️ higher⬆️ Oh→ oh↑ oh→ oh↑ oh→ oh↗ oh→ oh→ oh️️",2026-03-22 04:31:38.941,9065645343,白厄-NeiKos496,1,耀斑,False
107,"卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神
卑鄙哇去吧瞬间就爱上雷神",2026-03-22 03:46:22.539,3336860176,煤用的东西,0,耀斑,False
108,已歪,2026-03-22 01:02:43.582,3256615770,日月星_lvpC,0,耀斑,False
109,接,2026-03-21 23:49:33.203,4961996431,可走不进你心,0,耀斑,False
110,baby我去吧瞬间就爱上雷神⚡️,2026-03-21 23:26:06.358,1534222112,TA却随波渐远,0,耀斑,False
111,卑鄙哇去吧，瞬间就爱上雷神。哦哇去吧，一卡的还上雷神哦哇去吧，一克佛为蚝油我欧，我欧我哦～～～～              咕咕嘎嘎[可爱][可爱][可爱][可爱],2026-03-21 23:09:28.038,8191902159,释怀交织,0,耀斑,False
112,爱上雷神[心动],2026-03-21 22:42:47.486,13824033431,最忧郁之人哎,2,耀斑,False
113,卑鄙我去吧瞬间就爱上雷神,2026-03-21 22:37:12.426,12112110256,佐助兔斯基,7,耀斑,False
114,这期神了,2026-03-21 22:27:48.505,12415231604,a_黄泉_a,0,耀斑,False
